latitude,longitude,risk_score,localidad,direccion,iluminacion_score,personas_score,data_source,downloaded_at
4.68600000069,-74.0576999998,0.2,Barrios Unidos,"Auto Norte - CL 95, Bogotá, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68539999984,-74.0577999996,0.2,Barrios Unidos,"Auto Norte - CL 95, Bogotá, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68420000002,-74.0580000002,0.1,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68420000002,-74.0580000002,0.1,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68300000019,-74.0581999999,0.2,Barrios Unidos,"719A00, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6819000002,-74.0584000004,0.2,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68090000004,-74.0586000001,0.2,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67989999987,-74.0587999998,0.2,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67870000005,-74.0597000001,0.5,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67789999954,-74.0608999999,0.5,Barrios Unidos,"Av. Nqs - Cl 89A, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67840000056,-74.0603,0.5,Barrios Unidos,"La Castellana, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67760000005,-74.0608000001,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67689999938,-74.0615999997,0.2,Barrios Unidos,"Kr 30 - Cl 86A, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67620000057,-74.0630999999,0.5,Barrios Unidos,"Castellana A - 3, Bogotá, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67600000091,-74.0636999998,0.2,Barrios Unidos,"Castellana A - 3, Bogotá, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67520000041,-74.0646000002,0.2,Barrios Unidos,"Av. Nqs - Cl 85A, Bogotá, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67469999939,-74.0656000003,0.5,Barrios Unidos,"Polo Club, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67390000075,-74.0665999996,0.5,Barrios Unidos,"Polo Club, Bogotá, Bogota, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67329999991,-74.0678000003,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6724999994,-74.0689000003,0.5,Barrios Unidos,"Juan XXIII, Bogotá, Bogota, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67180000059,-74.0696,0.2,Barrios Unidos,"Juan XXIII, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6707000006,-74.0705000004,0.5,Barrios Unidos,"Av. Nqs - Cl 75, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66939999908,-74.0718,0.2,Barrios Unidos,"Calle 75 A - 3, Bogotá, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66829999909,-74.0725999996,0.2,Barrios Unidos,"Once de Noviembre, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66740000062,-74.0733000003,0.5,Barrios Unidos,"AK 7 - Cl 35, Bogotá, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66620000079,-74.0743000004,0.2,Barrios Unidos,"Av. Chile B - 4 o 6, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66489999928,-74.0754000004,0.2,Barrios Unidos,"Av. Nqs - Cl 70, Bogotá, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66389999911,-74.0756999999,0.2,Barrios Unidos,"La Merced Norte, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66310000047,-74.0760000004,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66220000014,-74.0762,0.1,Barrios Unidos,"La Paz, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66070000082,-74.0766000003,0.1,Barrios Unidos,"Av. Nqs - Cl 65, Bogotá, Colombia",0.9,0.8,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65980000049,-74.0768999998,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65899999999,-74.0771000003,0.1,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65899999999,-74.0771000003,0.1,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65829999931,-74.0772000002,0.2,Barrios Unidos,"Av. Nqs - Cl 63G, Bogotá, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65829999931,-74.0772000002,0.2,Barrios Unidos,"Av. Nqs - Cl 63G, Bogotá, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65740000084,-74.0776000004,0.2,Barrios Unidos,"Simon Bolivar B - 3, Bogotá, Colombia",0.5,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6568,-74.0777000003,0.5,Barrios Unidos,"Simon Bolivar A - 3, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6568,-74.0777000003,0.2,Barrios Unidos,"Simon Bolivar A - 3, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65579999983,-74.0777000003,0.5,Barrios Unidos,"Simon Bolivar A - 2, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65460000001,-74.0778000001,0.1,Barrios Unidos,"Av Nqs - Cl 63 C, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65350000001,-74.0778999999,0.5,Barrios Unidos,"Benjamin Herrera, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.65259999968,-74.0779999997,0.2,Barrios Unidos,"Benjamin Herrera, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66779999994,-74.0608000001,0.5,Barrios Unidos,"Auto Norte - CL 80 Bis, Bogotá, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6679999996,-74.0624000002,0.2,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66789999977,-74.0615999997,0.2,Barrios Unidos,"Polo Club, Bogotá, Bogota, Colombia",0.5,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.66950000077,-74.0636,0.2,Barrios Unidos,"Polo Club, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67210000008,-74.0656000003,0.2,Barrios Unidos,"Polo Club, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67400000058,-74.0674000001,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67569999956,-74.0700000003,0.2,Barrios Unidos,"Escuela Militar B - 2 o 5, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67679999955,-74.0716000004,0.2,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
4.67830000073,-74.0738000004,0.2,Barrios Unidos,"AC 80 - KR 56Bis, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.6799999997,-74.0757999998,0.2,Barrios Unidos,"AC 80 - Kr 58, Bogotá, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68209999986,-74.0776000004,0.2,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.4,official_bogota_security_points,2025-07-20T13:56:24.202499
4.68420000002,-74.0782000003,0.5,Barrios Unidos,"Barrios Unidos, Bogotá, Bogota, Colombia",0.9,0.5,official_bogota_security_points,2025-07-20T13:56:24.202499
